1804-1	8647.0	8047.0	14384	639
1804-2	7701.0	7142.0	12593	659
1804-3	9613.0	8973.0	16244	638
1804-4	10947.0	10172.0	18558	1024
1804-5	14543.0	13427.0	25340	1900
1804-6	21470.0	19879.0	37780	3022
1804-7	21719.0	20078.0	38476	2745
1804-8	18759.0	17360.0	32786	2475
1804-9	20278.0	18857.0	33323	2400
1804-10	20558.0	19023.0	35351	2743
1804-11	19182.0	17728.0	32582	2540
1804-12	8097.0	7408.0	14491	1047
1805-1	11756.0	10819.0	20249	1380
1805-2	9615.0	8818.0	17877	1253
1805-3	10476.0	9645.0	18391	1318
1805-4	12978.0	11905.0	23471	1637
1805-5	13009.0	11988.0	24493	1602
1805-6	8957.0	8224.0	16793	1090
1805-7	12882.0	11962.0	23265	1513
1805-8	10015.0	9224.0	18359	1107
1805-9	11932.0	10982.0	21437	1408
1805-10	8666.0	7996.0	15925	1176
1805-11	12431.0	11363.0	23253	1828
1805-12	11261.0	10259.0	21310	1527
1806-1	11817.0	10823.0	22308	1522
1806-2	10622.0	9754.0	19615	1346
1806-3	11354.0	10405.0	20846	1560
1806-4	11746.0	10757.0	21772	1490
1806-5	13786.0	12583.0	25450	1832
1806-6	17029.0	15731.0	29471	2241
1806-7	17633.0	16287.0	30418	2223
1806-8	18473.0	17005.0	32266	2345
1806-9	17856.0	16410.0	31702	2408
1806-10	19613.0	18053.0	35303	2534
1806-11	10905.0	9923.0	21146	1450
1806-12	11162.0	10248.0	21248	1291
1807-1	17373.0	15874.0	31384	2431
1807-2	13976.0	12825.0	26274	1764
1807-3	14994.0	13800.0	27292	1695
1807-4	13627.0	12503.0	25424	1649
1807-5	14009.0	12840.0	26298	1673
1807-6	10516.0	9792.0	18403	976
1807-7	15550.0	14307.0	28990	1751
1807-8	12405.0	11346.0	23260	1518
1807-9	13712.0	12582.0	25048	1569
1807-10	17050.0	15727.0	30340	1992
1807-11	14121.0	13060.0	24468	1498
1807-12	12088.0	11178.0	21521	1322
1808-1	5019.0	4536.0	9969	925
1808-2	6213.0	5566.0	12521	1201
1808-3	6398.0	5788.0	13038	1258
1808-4	5182.0	4656.0	11125	1036
1808-5	5867.0	5310.0	12168	1187
1808-6	5680.0	5122.0	11240	1047
1808-7	5068.0	4634.0	9819	893
1808-8	9382.0	8638.0	16724	1583
1808-9	13648.0	12543.0	24421	2246
1808-10	10884.0	10054.0	19206	1803
1808-11	12762.0	11736.0	21856	2039
1808-12	10722.0	9889.0	20250	988
1809-1	4647.0	4196.0	10107	418
1809-2	8650.0	7945.0	17294	723
1809-3	14283.0	13063.0	28214	1265
1809-4	10710.0	9888.0	20702	820
1809-5	10455.0	9660.0	19995	787
1809-6	14553.0	13385.0	28351	1155
1809-7	9586.0	8896.0	17195	795
1809-8	6862.0	6283.0	13800	589
1809-9	5029.0	4542.0	10233	612
1809-10	4840.0	4421.0	9922	493
1809-11	5961.0	5436.0	12616	549
1809-12	5919.0	5359.0	11618	619
1810-1	5579.0	5069.0	11536	514
1810-2	5878.0	5340.0	12742	594
1810-3	6368.0	5743.0	13441	644
