1839-5	23418.0	21943.0	37878	1811
1839-6	23429.0	22121.0	36790	1530
1839-7	24576.0	23240.0	38039	1747
1839-8	21721.0	20364.0	35006	1773
1839-9	21619.0	20317.0	34931	1555
1839-10	20268.0	19015.0	32783	1570
1839-11	25199.0	23606.0	40115	1812
1839-12	21431.0	20044.0	35416	1559
1840-1	29828.0	27916.0	48873	2198
1840-2	30384.0	28579.0	48835	2081
1840-3	30422.0	28625.0	48369	2225
1840-4	32593.0	30732.0	50877	2140
1840-5	30304.0	28432.0	48188	1989
1840-6	32098.0	30253.0	51288	2169
1840-7	31332.0	29647.0	48700	1919
1840-8	34958.0	32889.0	56130	2219
1840-9	28900.0	27228.0	45906	1851
1840-10	38235.0	35844.0	61550	2815
1840-11	30969.0	29078.0	49404	2218
1840-12	34361.0	32322.0	55707	2347
1841-1	32135.0	30215.0	50998	2435
1841-2	34221.0	32000.0	54541	2719
1841-3	39186.0	36788.0	61493	3089
1841-4	37641.0	35355.0	58165	2853
1841-5	36180.0	33974.0	57219	2684
1841-6	39527.0	37232.0	62048	2808
1841-7	40406.0	38057.0	61809	3161
1841-8	40288.0	37884.0	61308	3238
1841-9	41952.0	39416.0	65871	3234
1841-10	38357.0	36004.0	60692	3179
1841-11	34113.0	32030.0	52725	2889
1841-12	33913.0	31829.0	53200	2927
1842-1	33328.0	31288.0	52647	2343
1842-2	29706.0	27955.0	47138	2148
1842-3	42391.0	39701.0	69461	3097
1842-4	37335.0	35117.0	58424	2890
1842-5	37528.0	35234.0	59085	2796
1842-6	41459.0	38979.0	64908	3061
1842-7	37223.0	35100.0	58193	2849
1842-8	38264.0	35871.0	61523	3087
1842-9	28688.0	26856.0	45840	2121
1842-10	19321.0	18133.0	29862	1636
1842-11	23931.0	22432.0	36860	2109
1842-12	21443.0	20201.0	33124	1655
1843-1	26106.0	24642.0	40266	1947
1843-2	21651.0	20338.0	33867	1654
1843-3	26425.0	24875.0	40060	2134
1843-4	25280.0	23668.0	39407	2017
1843-5	25133.0	23661.0	39092	1911
1843-6	28386.0	26659.0	44063	2167
1843-7	23985.0	22631.0	36585	1944
1843-8	27996.0	26373.0	42608	2225
1843-9	29536.0	27876.0	45137	2193
1843-10	29097.0	27369.0	45432	2191
1843-11	28685.0	26994.0	45092	2323
1843-12	27131.0	25518.0	40868	2587
1844-1	23535.0	22093.0	37912	1761
1844-2	20958.0	19683.0	33632	1465
1844-3	23900.0	22617.0	37488	1619
1844-4	25490.0	24041.0	39814	1658
1844-5	26407.0	24806.0	43338	1768
1844-6	25155.0	23678.0	40816	1689
1844-7	24791.0	23425.0	38467	1631
1844-8	27129.0	25537.0	44272	1841
1844-9	25349.0	23885.0	41355	1727
1844-10	26959.0	25346.0	43535	1785
1844-11	25929.0	24319.0	41699	1767
1844-12	26716.0	25133.0	41767	1988
1845-1	28553.0	26926.0	44966	2160
1845-2	22898.0	21372.0	38544	1814
1845-3	21130.0	19830.0	33471	1737
1845-4	25329.0	23706.0	39863	1974
1845-5	26601.0	24969.0	42065	1966
1845-6	21776.0	20429.0	34045	1667
